Location,Age,Conducted,Passes,Pass rate (%),gender,year
Reading,17.0,307.0,193.0,62.8664495114007,men,2023-24
Reading,18.0,366.0,181.0,49.4535519125683,men,2023-24
Reading,19.0,216.0,116.0,53.7037037037037,men,2023-24
Reading,20.0,147.0,81.0,55.1020408163265,men,2023-24
Reading,21.0,125.0,68.0,54.4,men,2023-24
Reading,22.0,114.0,60.0,52.6315789473684,men,2023-24
Reading,23.0,114.0,56.0,49.1228070175439,men,2023-24
Reading,24.0,124.0,61.0,49.1935483870968,men,2023-24
Reading,25.0,93.0,43.0,46.236559139785,men,2023-24
Wood Green (London),17.0,375.0,199.0,53.0666666666667,men,2023-24
Wood Green (London),18.0,530.0,260.0,49.0566037735849,men,2023-24
Wood Green (London),19.0,496.0,232.0,46.7741935483871,men,2023-24
Wood Green (London),20.0,480.0,198.0,41.25,men,2023-24
Wood Green (London),21.0,376.0,178.0,47.3404255319149,men,2023-24
Wood Green (London),22.0,306.0,144.0,47.0588235294118,men,2023-24
Wood Green (London),23.0,323.0,151.0,46.7492260061919,men,2023-24
Wood Green (London),24.0,317.0,131.0,41.3249211356467,men,2023-24
Wood Green (London),25.0,292.0,128.0,43.8356164383562,men,2023-24
Reading,17.0,309.0,188.0,60.8414239482201,women,2023-24
Reading,18.0,296.0,162.0,54.7297297297297,women,2023-24
Reading,19.0,160.0,80.0,50.0,women,2023-24
Reading,20.0,120.0,58.0,48.3333333333333,women,2023-24
Reading,21.0,98.0,49.0,50.0,women,2023-24
Reading,22.0,85.0,40.0,47.0588235294118,women,2023-24
Reading,23.0,104.0,44.0,42.3076923076923,women,2023-24
Reading,24.0,86.0,50.0,58.1395348837209,women,2023-24
Reading,25.0,94.0,46.0,48.936170212766,women,2023-24
Wood Green (London),17.0,157.0,77.0,49.0445859872611,women,2023-24
Wood Green (London),18.0,290.0,145.0,50.0,women,2023-24
Wood Green (London),19.0,367.0,173.0,47.1389645776567,women,2023-24
Wood Green (London),20.0,332.0,141.0,42.4698795180723,women,2023-24
Wood Green (London),21.0,310.0,135.0,43.5483870967742,women,2023-24
Wood Green (London),22.0,280.0,116.0,41.4285714285714,women,2023-24
Wood Green (London),23.0,265.0,108.0,40.7547169811321,women,2023-24
Wood Green (London),24.0,220.0,90.0,40.9090909090909,women,2023-24
Wood Green (London),25.0,214.0,99.0,46.2616822429907,women,2023-24
Reading,17.0,607.0,377.0,62.1087314662273,men,2022-23
Reading,18.0,569.0,320.0,56.2390158172232,men,2022-23
Reading,19.0,318.0,176.0,55.3459119496855,men,2022-23
Reading,20.0,208.0,112.0,53.8461538461538,men,2022-23
Reading,21.0,154.0,88.0,57.1428571428571,men,2022-23
Reading,22.0,154.0,86.0,55.8441558441558,men,2022-23
Reading,23.0,111.0,56.0,50.4504504504505,men,2022-23
Reading,24.0,121.0,65.0,53.7190082644628,men,2022-23
Reading,25.0,109.0,50.0,45.8715596330275,men,2022-23
Wood Green (London),17.0,319.0,179.0,56.1128526645768,men,2022-23
Wood Green (London),18.0,485.0,232.0,47.8350515463918,men,2022-23
Wood Green (London),19.0,501.0,250.0,49.9001996007984,men,2022-23
Wood Green (London),20.0,369.0,160.0,43.360433604336,men,2022-23
Wood Green (London),21.0,311.0,148.0,47.588424437299,men,2022-23
Wood Green (London),22.0,305.0,146.0,47.8688524590164,men,2022-23
Wood Green (London),23.0,290.0,144.0,49.6551724137931,men,2022-23
Wood Green (London),24.0,254.0,116.0,45.6692913385827,men,2022-23
Wood Green (London),25.0,265.0,129.0,48.6792452830189,men,2022-23
Reading,17.0,697.0,448.0,64.2754662840746,women,2022-23
Reading,18.0,557.0,352.0,63.1956912028725,women,2022-23
Reading,19.0,326.0,183.0,56.1349693251534,women,2022-23
Reading,20.0,164.0,94.0,57.3170731707317,women,2022-23
Reading,21.0,139.0,78.0,56.1151079136691,women,2022-23
Reading,22.0,151.0,80.0,52.9801324503311,women,2022-23
Reading,23.0,145.0,92.0,63.448275862069,women,2022-23
Reading,24.0,120.0,64.0,53.3333333333333,women,2022-23
Reading,25.0,106.0,55.0,51.8867924528302,women,2022-23
Wood Green (London),17.0,117.0,67.0,57.2649572649573,women,2022-23
Wood Green (London),18.0,293.0,142.0,48.4641638225256,women,2022-23
Wood Green (London),19.0,335.0,155.0,46.2686567164179,women,2022-23
Wood Green (London),20.0,312.0,127.0,40.7051282051282,women,2022-23
Wood Green (London),21.0,292.0,128.0,43.8356164383562,women,2022-23
Wood Green (London),22.0,257.0,122.0,47.4708171206226,women,2022-23
Wood Green (London),23.0,213.0,92.0,43.1924882629108,women,2022-23
Wood Green (London),24.0,215.0,95.0,44.1860465116279,women,2022-23
Wood Green (London),25.0,203.0,88.0,43.3497536945813,women,2022-23
Reading,17.0,929.0,618.0,66.5231431646932,men,2021-22
Reading,18.0,979.0,587.0,59.9591419816139,men,2021-22
Reading,19.0,430.0,234.0,54.4186046511628,men,2021-22
Reading,20.0,254.0,146.0,57.4803149606299,men,2021-22
Reading,21.0,213.0,103.0,48.3568075117371,men,2021-22
Reading,22.0,204.0,106.0,51.9607843137255,men,2021-22
Reading,23.0,159.0,94.0,59.1194968553459,men,2021-22
Reading,24.0,144.0,79.0,54.8611111111111,men,2021-22
Reading,25.0,152.0,82.0,53.9473684210526,men,2021-22
Wood Green (London),17.0,205.0,111.0,54.1463414634146,men,2021-22
Wood Green (London),18.0,374.0,181.0,48.3957219251337,men,2021-22
Wood Green (London),19.0,341.0,171.0,50.1466275659824,men,2021-22
Wood Green (London),20.0,284.0,140.0,49.2957746478873,men,2021-22
Wood Green (London),21.0,250.0,129.0,51.6,men,2021-22
Wood Green (London),22.0,206.0,98.0,47.5728155339806,men,2021-22
Wood Green (London),23.0,182.0,89.0,48.9010989010989,men,2021-22
Wood Green (London),24.0,162.0,90.0,55.5555555555556,men,2021-22
Wood Green (London),25.0,186.0,88.0,47.3118279569892,men,2021-22
Reading,17.0,912.0,577.0,63.2675438596491,women,2021-22
Reading,18.0,964.0,557.0,57.7800829875519,women,2021-22
Reading,19.0,371.0,213.0,57.4123989218329,women,2021-22
Reading,20.0,191.0,90.0,47.1204188481675,women,2021-22
Reading,21.0,209.0,107.0,51.1961722488038,women,2021-22
Reading,22.0,201.0,99.0,49.2537313432836,women,2021-22
Reading,23.0,167.0,94.0,56.2874251497006,women,2021-22
Reading,24.0,162.0,84.0,51.8518518518519,women,2021-22
Reading,25.0,129.0,68.0,52.7131782945736,women,2021-22
Wood Green (London),17.0,66.0,33.0,50.0,women,2021-22
Wood Green (London),18.0,220.0,91.0,41.3636363636364,women,2021-22
Wood Green (London),19.0,302.0,143.0,47.3509933774834,women,2021-22
Wood Green (London),20.0,289.0,128.0,44.2906574394464,women,2021-22
Wood Green (London),21.0,267.0,115.0,43.0711610486891,women,2021-22
